trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1717,False,"{'a': 0.17960415295929566, 'e': 0.17960415295929566}",25,7,3.7764525439404686,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
1718,False,"{'a': 0.17942463857848634, 'e': 0.17942463857848634}",25,10,17.4244923094643,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1719,False,"{'a': 0.1792453036223305, 'e': 0.1792453036223305}",20,2,20.949227137021076,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1720,False,"{'a': 0.17906614791149322, 'e': 0.17906614791149322}",20,13,-0.7862716238875054,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1721,False,"{'a': 0.17888717126681877, 'e': 0.17888717126681877}",20,6,16.4319467269931,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1722,False,"{'a': 0.17870837350933053, 'e': 0.17870837350933053}",25,15,-18.976386182934913,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
1723,False,"{'a': 0.17852975446023064, 'e': 0.17852975446023064}",20,16,7.296892546782224,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1724,False,"{'a': 0.17835131394090015, 'e': 0.17835131394090015}",20,0,1.5584804170686661,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
1725,False,"{'a': 0.1781730517728984, 'e': 0.1781730517728984}",20,8,15.3795454776152,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1726,False,"{'a': 0.17799496777796334, 'e': 0.17799496777796334}",20,7,12.454040112095816,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1727,False,"{'a': 0.17781706177801082, 'e': 0.17781706177801082}",20,7,4.705270294502251,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
1728,False,"{'a': 0.17763933359513495, 'e': 0.17763933359513495}",20,12,16.614561371365955,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1729,False,"{'a': 0.17746178305160745, 'e': 0.17746178305160745}",25,14,8.831723162394775,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1730,False,"{'a': 0.17728440996987782, 'e': 0.17728440996987782}",25,13,-21.472926960351657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1731,False,"{'a': 0.17710721417257289, 'e': 0.17710721417257289}",25,3,-27.55457023439952,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
1732,False,"{'a': 0.17693019548249692, 'e': 0.17693019548249692}",25,14,17.327289109033373,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1733,False,"{'a': 0.17675335372263115, 'e': 0.17675335372263115}",25,0,-24.835608347189197,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
1734,False,"{'a': 0.17657668871613388, 'e': 0.17657668871613388}",25,7,21.005371698497154,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1735,False,"{'a': 0.17640020028634, 'e': 0.17640020028634}",20,13,-1.1119058066822778,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1736,False,"{'a': 0.1762238882567611, 'e': 0.1762238882567611}",20,10,7.884166282607405,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1737,False,"{'a': 0.17604775245108517, 'e': 0.17604775245108517}",25,17,16.157270646417473,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1738,False,"{'a': 0.17587179269317638, 'e': 0.17587179269317638}",30,16,28.59428523139307,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1739,False,"{'a': 0.17569600880707487, 'e': 0.17569600880707487}",20,13,1.9380385535057139,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1740,False,"{'a': 0.17552040061699686, 'e': 0.17552040061699686}",25,6,-30.628436716710464,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
1741,False,"{'a': 0.1753449679473341, 'e': 0.1753449679473341}",20,0,9.756083850722309,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
1742,False,"{'a': 0.17516971062265388, 'e': 0.17516971062265388}",20,6,0.708175209149517,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
